timestamp,message,eventId,logStreamName
1615665482203,"2021-03-13T19:58:02.202Z	1767ec98-878e-4fd0-9811-f592b504da1e	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-3008',
  interval: 360,
  coldstarts: 0
}
",36030544244670216206984596708560750872631558837649932321,2021/03/13/[$LATEST]4db84be806254cbf8cb7ff8192b32640
1615665482460,"2021-03-13T19:58:02.459Z	84258d95-ee83-44c7-9f98-470614395439	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-1856',
  interval: 360,
  coldstarts: 0
}
",36030544250401507723006966856886862287699741682733350913,2021/03/13/[$LATEST]13a1faeb64894b268d2be3b760e51cf6
1615665482480,"2021-03-13T19:58:02.479Z	2f3ede06-d6f5-4d76-8ea0-511a2bafc1c5	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-1280',
  interval: 360,
  coldstarts: 0
}
",36030544250847522626977579319757147588850310762073620481,2021/03/13/[$LATEST]063c74c1ecf64dc0bcd05a9f7f907102
1615665482488,"2021-03-13T19:58:02.488Z	d11dc352-429a-47dc-937e-0a88d9e6ed5a	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-512',
  interval: 360,
  coldstarts: 0
}
",36030544251025928588565824304900546941924125873607671809,2021/03/13/[$LATEST]12895a1b2930445ea857e444d1e78522
1615665482518,"2021-03-13T19:58:02.518Z	6b945da2-704c-49ee-b97d-668dba57f813	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-1408',
  interval: 360,
  coldstarts: 0
}
",36030544251694950944521742999179398988622984653127483393,2021/03/13/[$LATEST]2ad69a2bc0944e50a37f15098da964e9
1615665902046,"2021-03-13T20:05:02.046Z	9091f201-a7a5-4218-8c65-40dedb335612	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-2240',
  interval: 420,
  coldstarts: 0
}
",36030553607481982593677008828463742160928873378556018689,2021/03/13/[$LATEST]063c74c1ecf64dc0bcd05a9f7f907102
1615665902776,"2021-03-13T20:05:02.776Z	37fc071e-8d12-4498-a906-72a2966c5580	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-2816',
  interval: 420,
  coldstarts: 0
}
",36030553623761526588604363722759365046704797294530461697,2021/03/13/[$LATEST]14173c76db4e4112a28d65f7d5804c83
1615665902788,"2021-03-13T20:05:02.788Z	9e1a531e-39e0-41be-9b69-64a51bbce1d6	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-1280',
  interval: 420,
  coldstarts: 0
}
",36030553624029135530986731199483245119233957615993487369,2021/03/13/[$LATEST]063c74c1ecf64dc0bcd05a9f7f907102
1615665903051,"2021-03-13T20:05:03.051Z	f5413dec-1b78-4609-bcc7-c7f3afaf3248	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-1024',
  interval: 420,
  coldstarts: 0
}
",36030553629894231518200285087012475395656825907141869569,2021/03/13/[$LATEST]4b46b321a9de4fc7ae97c60d97845ce0
1615665903395,"2021-03-13T20:05:03.395Z	caa47e70-024d-4112-a042-b1a19056d7dd	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-1792',
  interval: 420,
  coldstarts: 0
}
",36030553637565687866494819448101072825619922237165273089,2021/03/13/[$LATEST]365e4cec970c47b49791721267ca1524
1615666323810,"2021-03-13T20:12:03.810Z	ab4ae0f7-8c75-40a2-9624-6ef23289b4c7	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-1856',
  interval: 420,
  coldstarts: 1
}
",36030563013133480506746748005011117539200008229571592193,2021/03/13/[$LATEST]063c74c1ecf64dc0bcd05a9f7f907102
1615666324625,"2021-03-13T20:12:04.625Z	65926033-0ecd-436d-9201-0a32a362bcdf	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-2816',
  interval: 420,
  coldstarts: 1
}
",36030563031308587843549205866437045566329317713172299777,2021/03/13/[$LATEST]634806e892ae4da4859c7b0f084215de
1615666324671,"2021-03-13T20:12:04.671Z	53c3ce53-06e3-4955-9c75-6bb2500e3e9b	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-512',
  interval: 420,
  coldstarts: 1
}
",36030563032334422122681614529873370971950247486220730377,2021/03/13/[$LATEST]063c74c1ecf64dc0bcd05a9f7f907102
1615666325051,"2021-03-13T20:12:05.051Z	366e18ff-e8a5-4382-b988-c9e25bc0a8d1	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-1792',
  interval: 420,
  coldstarts: 1
}
",36030563040808705298123251325267046692065145462267117569,2021/03/13/[$LATEST]33bfe3fa46af4bc4a495e133fb8deeb6
1615666325100,"2021-03-13T20:12:05.100Z	c852beee-3f61-417b-bfa8-3c388859a187	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-1536',
  interval: 420,
  coldstarts: 1
}
",36030563041901441812851251859237218171921403885849542657,2021/03/13/[$LATEST]636e82b7e2a04632b22c528da5d6d620
1615666743943,"2021-03-13T20:19:03.943Z	9c07108d-feb4-43c7-b9af-751d2c5a09c6	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-2432',
  interval: 420,
  coldstarts: 2
}
",36030572382412463001013040835851690909728647963560902657,2021/03/13/[$LATEST]063c74c1ecf64dc0bcd05a9f7f907102
1615666744717,"2021-03-13T20:19:04.717Z	3efcca16-9b3a-4700-beb7-6977beef8927	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-1280',
  interval: 420,
  coldstarts: 2
}
",36030572399673239784675743147400336852758479769189744649,2021/03/13/[$LATEST]063c74c1ecf64dc0bcd05a9f7f907102
1615666744733,"2021-03-13T20:19:04.733Z	fd7dd8ea-183f-40b9-b4fd-2a1461f71604	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-2624',
  interval: 420,
  coldstarts: 2
}
",36030572400030051707852233118487166605537257729719074817,2021/03/13/[$LATEST]634806e892ae4da4859c7b0f084215de
1615666745485,"2021-03-13T20:19:05.485Z	9c1d3493-2fae-41d7-9fca-7c7cdfbf8ad9	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-2048',
  interval: 420,
  coldstarts: 2
}
",36030572416800212097147261721949166278186765855092572161,2021/03/13/[$LATEST]36f9135e2d5c4d14919956bfad9c312e
1615666745618,"2021-03-13T20:19:05.618Z	425853f0-6702-470d-bac7-01fe08125fa0	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-2816',
  interval: 420,
  coldstarts: 2
}
",36030572419766211208551834597924019016414653486078099473,2021/03/13/[$LATEST]063c74c1ecf64dc0bcd05a9f7f907102
1615666745741,"2021-03-13T20:19:05.741Z	d44cf8e2-e0a5-4408-80a0-7098765d5f7c	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-512',
  interval: 420,
  coldstarts: 2
}
",36030572422509202867971101244332912363950401951313690649,2021/03/13/[$LATEST]063c74c1ecf64dc0bcd05a9f7f907102
1615666745829,"2021-03-13T20:19:05.829Z	71904215-46e8-4e61-879e-381238690ef7	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-3008',
  interval: 420,
  coldstarts: 2
}
",36030572424471668445441796081610313832359861940273610761,2021/03/13/[$LATEST]634806e892ae4da4859c7b0f084215de
1615666746652,"2021-03-13T20:19:06.652Z	a541986c-e08c-41bc-8b98-7d71d677c051	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-256',
  interval: 420,
  coldstarts: 2
}
",36030572442825181743832498929549544365255513228735545345,2021/03/13/[$LATEST]25d3aa09945c4ecbb0cc52c6496e74fa
1615666746700,"2021-03-13T20:19:06.700Z	2e7552dd-d5c9-4798-a311-1d12b4c843b1	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-1792',
  interval: 420,
  coldstarts: 2
}
",36030572443895617513361968840381876589043752607624331265,2021/03/13/[$LATEST]0652ef6759f74b92bce4e0afe0d3b840
1615666747078,"2021-03-13T20:19:07.078Z	eb4b1544-7991-4278-9906-eacbe1c488a5	INFO	{
  target: 'when-will-i-coldstart-dev-system-under-test-128',
  interval: 420,
  coldstarts: 2
}
",36030572452325299198406544385388425954897665461243150353,2021/03/13/[$LATEST]634806e892ae4da4859c7b0f084215de
